gg, 65412
lol, 27494
?, 19695
gg wp, 15431
GG, 13473
ggwp, 12434
ez, 11265
haha, 9641
LOL, 7683
:D, 7437
ty, 7298
wp, 5986
XD, 5240
hahaha, 3991
rofl, 3695
xD, 3662
ok, 3315
xd, 3260
EZ, 3112
ez mid, 3053
:), 3039
wtf, 2917
g, 2892
Gg, 2734
